Match ID,Date,Team 1,Team 2,Team 1 xP,Team 2 xP,Team 1 xG,Team 2 xG,Team 1 Win %,Team 2 Win %,Draw %
14168784,17/01/2026,Bedford,Southport,0.71216,2.01959,0.75735,1.47468,14.797,58.378,26.825
14168785,17/01/2026,Chester,Chorley,2.00107,0.74746,1.70165,0.89134,58.32,16.533,25.147
14168786,17/01/2026,Curzon Ashton,Telford,0.16876,2.7655,1.5066,4.51423,3.434,89.992,6.574
14168787,17/01/2026,Darlington,Alfreton,2.25633,0.55395,2.27867,1.04618,68.887,12.141,18.972
14168788,17/01/2026,Kidderminster,Worksop,1.65431,0.95621,0.82036,0.47139,42.161,18.891,38.948
14168789,17/01/2026,Peterborough,Merthyr,1.04948,1.64336,0.87968,1.17669,24.744,44.54,30.716
14168790,17/01/2026,Spennymoor,Radcliffe,0.13604,2.79293,0.71865,3.06204,2.167,90.73,7.103
14168791,17/01/2026,South Shields,Leamington,2.15864,0.53738,1.16507,0.29243,61.822,7.78,30.398
14168792,24/01/2026,Chorley,Darlington,1.95769,0.79987,1.74226,0.95297,57.175,18.581,24.244
14168793,17/01/2026,Macclesfield,Oxford,2.72385,0.16893,2.17787,0.27919,87.221,2.057,10.722
14168794,17/01/2026,Hereford,King's Lynn,1.98919,0.71668,1.24667,0.51984,56.502,14.085,29.413
14168795,24/01/2026,King's Lynn,Telford,0.41777,2.40731,0.80365,2.17913,8.095,74.413,17.492
14168796,24/01/2026,Alfreton,Bedford,2.90225,0.0602,3.43947,0.29925,95.49,0.755,3.755
14168797,24/01/2026,South Shields,Marine,0.97348,1.68682,0.6805,1.01731,21.126,44.904,33.97
14168798,24/01/2026,Buxton,Radcliffe,0.83796,1.98765,2.28119,3.2716,22.119,60.442,17.439
14168799,24/01/2026,Kidderminster,Scarborough,2.56228,0.27358,1.78656,0.32701,79.938,3.648,16.414
14168801,24/01/2026,Chester,Peterborough,0.18562,2.67427,0.11682,1.79542,1.517,84.472,14.011
14168802,24/01/2026,Leamington,Curzon Ashton,0.65031,2.14602,0.99227,2.05045,14.888,64.745,20.367
14168803,24/01/2026,Oxford,Fylde,0.94124,1.69889,0.53635,0.9335,19.379,44.634,35.987
14168804,24/01/2026,Southport,Merthyr,2.66024,0.21707,2.24784,0.37989,84.585,3.146,12.269
14168805,24/01/2026,Macclesfield,Worksop,1.72537,0.9739,1.56152,1.07898,47.488,22.439,30.073
14168807,27/01/2026,Kidderminster,Bedford,2.46905,0.35699,1.89698,0.49124,76.503,6.101,17.396
14168810,27/01/2026,Marine,Chester,2.10712,0.63379,1.90745,0.98481,61.601,12.49,25.909
14168811,27/01/2026,Merthyr,Telford,1.17168,1.55577,1.30677,1.57935,29.971,42.774,27.255
14168812,27/01/2026,Macclesfield,Peterborough,1.05615,1.63305,1.08468,1.46083,24.845,44.075,31.08
14168814,27/01/2026,Radcliffe,Scarborough,0.99447,1.71912,1.03381,1.41941,23.602,47.757,28.641
