Player Name,Player Team,Average xG,Average Post Shot xG,Player Ave Impact on Post Shot xG
Adriel Walker,Buxton,0.32443333333333335,0.5034666666666666,0.17903333333333327
Connor Douglas,Buxton,0.14240916666666667,0.09429,-0.04811916666666667
Oliver Bainbridge,South Shields,0.13597,0.14542071428571426,0.009450714285714257
Sean McGurk,South Shields,0.10588850000000001,0.11981818181818182,0.013929681818181813
Zak Gilsenan,Buxton,0.1646054705882353,0.2171864705882353,0.05258099999999999
Ashton Mee,Buxton,0.08615345454545455,0.09525272727272727,0.00909927272727272
Kurt Willoughby,Buxton,0.12535464705882352,0.10103264705882353,-0.024321999999999983
Daniel Jones,Spennymoor,0.158636575,0.09439000000000002,-0.06424657499999999
Cameron Salkeld,Spennymoor,0.12256433333333333,0.12448166666666667,0.0019173333333333403
Frank Nouble,Spennymoor,0.29332339999999996,0.31786,0.02453660000000002
Sonny Sharples,Spennymoor,0.03313475,0.0194125,-0.013722249999999998
Elliott Whitehouse,Peterborough,0.0645171,0.0991445,0.0346274
Kevin Joshua,Peterborough,0.12435666666666667,0.18403333333333335,0.05967666666666668
Tom Whelan,Fylde,0.05584511923076922,0.07465388461538461,0.018808765384615386
Danny Mayor,Fylde,0.10762572413793105,0.15859724137931036,0.05097151724137931
Terry Bondo,King's Lynn,0.18180864285714282,0.22044285714285716,0.03863421428571434
Festus Arthur,King's Lynn,0.08536850000000001,0.031075,-0.054293500000000015
Adam Marriott,King's Lynn,0.16903030303030303,0.08749242424242423,-0.0815378787878788
Samuel George Tomlinson,Buxton,0.16173666666666667,0.011163333333333332,-0.15057333333333334
Scott Burgess,Chester,0.07314108333333333,0.06202416666666666,-0.01111691666666667
Sam  Bayly,Peterborough,0.00546,0.0,-0.00546
Michael Gash,Peterborough,0.0552,0.1058,0.050600000000000006
Josiah Dyer,Peterborough,0.11772553846153845,0.17136307692307692,0.05363753846153847
Connor Woods,Chester,0.10209145000000003,0.08955772727272727,-0.012533722727272753
Jack Stobbs,Curzon Ashton,0.09774167500000001,0.11145833333333333,0.013716658333333312
Adam Barton,Curzon Ashton,0.21619,0.204115,-0.012075000000000002
Dion Kelly-Evans,Chester,0.11276555555555556,0.09355555555555556,-0.019210000000000005
James Jones,Chester,0.07302814285714286,0.046689999999999995,-0.026338142857142866
Kevin Roberts,Chester,0.10357594444444444,0.16926666666666668,0.06569072222222223
Rio Allan,Scarborough,0.10710119298245614,0.10432596333333333,-0.002775229649122815
Tom Leak,Chester,0.19482478571428571,0.07042,-0.12440478571428572
Alex Ryan John,Merthyr,0.17900366666666667,0.07808333333333334,-0.10092033333333333
Paul Kalambayi,Kidderminster,0.16078129999999996,0.18288100000000002,0.022099700000000055
George Newell,Marine,0.21270515384615388,0.20148925846153845,-0.011215895384615426
Will Van Lier,Leamington,0.1189,0.1406,0.021699999999999997
Dan Meredith,Leamington,0.043226999999999995,0.0471586052631579,0.003931605263157903
Jack Shorrock,Chester,0.155084,0.08061,-0.074474
Seb  Thompson,Leamington,0.053,0.034835,-0.018165
Adam Walker,Leamington,0.05256653103448275,0.02664689655172414,-0.02591963448275861
Jaiden White,Hereford,0.50875,0.0,-0.50875
Aaron Skinner,Hereford,0.03627878,0.09230185090909092,0.05602307090909092
Callum McFarlane,Hereford,0.12615785714285713,0.02839285714285714,-0.09776499999999999
Gus Mafuta,Hereford,0.046345706666666674,0.07858933333333334,0.03224362666666667
Harley Hamilton,Hereford,0.11654184615384616,0.1660661538461538,0.049524307692307645
Luke Woolston,South Shields,0.04849375,0.00393375,-0.04456
Sam Heathcote,Macclesfield,0.04930750454545454,0.04747874999999999,-0.0018287545454545445
